id	rate
17197	0.066
17199	0.137
17201	0.146
17203	0.059
18001	0.081
18003	0.115
18005	0.096
18007	0.121
18009	0.147
18011	0.066
18013	0.166
18015	0.113
18017	0.112
18019	0.098
18021	0.118
18023	0.114
18025	0.198
18027	0.096
18029	0.081
18031	0.119
18033	0.102
18035	0.214
18037	0.068
18039	0.118
18041	0.190
18043	0.110
18045	0.101
18047	0.109
18049	0.108
18051	0.096
18053	0.154
18055	0.133
18057	0.034
18059	0.066
18061	0.120
18063	0.047
18065	0.182
18067	0.146
18069	0.107
18071	0.106
18073	0.092
18075	0.110
18077	0.126
18079	0.122
18081	0.073
18083	0.168
18085	0.091
18087	0.066
18089	0.147
18091	0.143
18093	0.143
18095	0.153
18097	0.129
18099	0.107
18101	0.120
18103	0.133
18105	0.275
18107	0.119
18109	0.097
18111	0.158
18113	0.102
18115	0.116
18117	0.150
18119	0.142
18121	0.168
18123	0.123
18125	0.105
18127	0.100
18129	0.111
18131	0.116
18133	0.140
18135	0.151
18137	0.089
18139	0.146
18141	0.149
18143	0.189
18145	0.110
18147	0.110
18149	0.145
18151	0.124
18153	0.172
18155	0.139
18157	0.172
18159	0.108
18161	0.120
18163	0.121
18165	0.109
18167	0.162
18169	0.148
18171	0.093
18173	0.075
18175	0.140
18177	0.169
18179	0.087
18181	0.094
18183	0.077
19001	0.116
19003	0.145
19005	0.133
19007	0.134
19009	0.107
19011	0.085
19013	0.132
19015	0.087
19017	0.076
19019	0.078
19021	0.077
19023	0.093
19025	0.118
19027	0.072
19029	0.123
19031	0.078
19033	0.123
19035	0.099
19037	0.090
19039	0.099
19041	0.091
19043	0.136
19045	0.115
19047	0.097
19049	0.043
19051	0.112
19053	0.213
19055	0.099
19057	0.131
19059	0.088
19061	0.083
19063	0.116
19065	0.115
19067	0.099
19069	0.109
19071	0.111
19073	0.156
19075	0.059
19077	0.108
19079	0.092
19081	0.100
19083	0.116
19085	0.106
19087	0.124
19089	0.106
19091	0.089
19093	0.120
19095	0.068
19097	0.106
19099	0.100
19101	0.211
19103	0.134
19105	0.111
19107	0.106
19109	0.103
19111	0.140
19113	0.086
19115	0.109
19117	0.149
19119	0.063
19121	0.083
19123	0.108
19125	0.093
19127	0.102
19129	0.096
19131	0.090
19133	0.137
19135	0.108
19137	0.142
19139	0.106
19141	0.091
19143	0.105
19145	0.148
19147	0.111
19149	0.064
19151	0.125
19153	0.085
19155	0.112
19157	0.116
19159	0.140
19161	0.106
19163	0.103
19165	0.100
19167	0.060
19169	0.202
19171	0.092
19173	0.133
19175	0.136
19177	0.151
19179	0.153
19181	0.059
19183	0.095
19185	0.123
19187	0.132
19189	0.107
19191	0.134
19193	0.113
19195	0.114
19197	0.105
20001	0.162
20003	0.119
20005	0.127
20007	0.081
20009	0.119
20011	0.142
20013	0.120
20015	0.089
20017	0.203
20019	0.206
20021	0.147
20023	0.115
20025	0.106
20027	0.093
20029	0.096
20031	0.101
20033	0.071
20035	0.137
20037	0.167
20039	0.157
20041	0.091
20043	0.128
20045	0.150
20047	0.102
20049	0.130
20051	0.125
20053	0.113
20055	0.081
20057	0.069
20059	0.104
20061	0.053
20063	0.082
20065	0.132
20067	0.064
20069	0.057
20071	0.061
20073	0.165
20075	0.065
20077	0.113
20079	0.102
20081	0.065
20083	0.085
20085	0.096
20087	0.089
20089	0.136
20091	0.050
20093	0.079
20095	0.100
20097	0.116
20099	0.155
20101	0.085
20103	0.092
20105	0.105
20107	0.157
20109	0.118
20111	0.146
20113	0.085
20115	0.147
20117	0.116
20119	0.089
20121	0.079
20123	0.089
20125	0.132
20127	0.116
20129	0.092
20131	0.086
20133	0.128
20135	0.141
20137	0.160
20139	0.112
20141	0.150
20143	0.095
20145	0.135
20147	0.109
20149	0.055
20151	0.103
20153	0.116
20155	0.101
20157	0.132
20159	0.125
20161	0.137
20163	0.103
20165	0.163
20167	0.129
20169	0.095
20171	0.054
20173	0.094
20175	0.067
20177	0.106
20179	0.134
20181	0.134
20183	0.138
20185	0.116
20187	0.104
20189	0.067
20191	0.113
20193	0.077
20195	0.094
20197	0.060
20199	0.152
20201	0.096
20203	0.093
20205	0.143
20207	0.128
20209	0.146
21001	0.219
21003	0.174
21005	0.089
21007	0.141
21009	0.180
21011	0.200
21013	0.329
21015	0.062
21017	0.165
21019	0.177
21021	0.176
21023	0.103
21025	0.309
21027	0.181
21029	0.109
21031	0.160
21033	0.167
21035	0.152
21037	0.100
21039	0.160
21041	0.141
21043	0.168
21045	0.230
21047	0.114
21049	0.143
21051	0.341
21053	0.225
21055	0.204
21057	0.240
21059	0.116
21061	0.203
21063	0.371
21065	0.265
21067	0.133
21069	0.155
21071	0.201
21073	0.127
21075	0.213
21077	0.117
21079	0.210
21081	0.111
21083	0.141
21085	0.198
21087	0.238
21089	0.170
21091	0.104
21093	0.093
21095	0.234
21097	0.165
21099	0.205
21101	0.126
21103	0.160
21105	0.235
21107	0.167
21109	0.267
21111	0.126
21113	0.125
21115	0.206
21117	0.106
21119	0.258
21121	0.264
21123	0.164
21125	0.178
21127	0.194
21129	0.400
21131	0.169
21133	0.209
21135	0.292
21137	0.185
21139	0.155
21141	0.157
21143	0.224
21145	0.149
21147	0.303
21149	0.151
21151	0.182
21153	0.247
21155	0.161
21157	0.123
21159	0.357
21161	0.144
21163	0.157
21165	0.284
21167	0.137
21169	0.180
21171	0.241
21173	0.140
21175	0.296
21177	0.188
21179	0.119
21181	0.152
21183	0.172
21185	0.076
21187	0.185
21189	0.300
21191	0.129
21193	0.179
21195	0.194
21197	0.233
21199	0.212
21201	0.305
21203	0.283
21205	0.239
21207	0.186
21209	0.091
21211	0.087
21213	0.130
21215	0.071
21217	0.151
21219	0.165
21221	0.144
21223	0.139
21225	0.182
21227	0.147
21229	0.163
21231	0.266
21233	0.135
21235	0.173
21237	0.264
21239	0.094
22001	0.152
22003	0.180
22005	0.075
22007	0.181
22009	0.178
22011	0.122
22013	0.239
22015	0.100
22017	0.142
22019	0.134
22021	0.158
22023	0.116
22025	0.206
22027	0.291
22029	0.227
22031	0.153
22033	0.143
22035	0.295
22037	0.189
22039	0.174
22041	0.194
22043	0.185
22045	0.136
22047	0.185
22049	0.169
22051	0.134
22053	0.162
22055	0.121
22057	0.133
22059	0.146
22061	0.233
22063	0.094
22065	0.291
22067	0.195
22069	0.207
22071	0.211
22073	0.172
22075	0.101
22077	0.167
22079	0.169
22081	0.183
22083	0.181
22085	0.149
22087	0.123
22089	0.099
22091	0.219
22093	0.145
22095	0.124
22097	0.152
22099	0.153
22101	0.148
22103	0.100
22105	0.153
22107	0.262
22109	0.126
22111	0.186
22113	0.136
22115	0.074
22117	0.260
22119	0.175
22121	0.106
22123	0.178
22125	0.284
22127	0.212
23001	0.130
23003	0.195
23005	0.125
23007	0.194
23009	0.173
23011	0.123
23013	0.137
23015	0.139
23017	0.181
23019	0.176
23021	0.209
23023	0.105
23025	0.189
23027	0.164
23029	0.248
23031	0.108
24001	0.206
24003	0.052
24005	0.080
24009	0.059
24011	0.104
24013	0.060
24015	0.087
24017	0.063
24019	0.161
24021	0.056
24023	0.133
24025	0.076
24027	0.053
24029	0.164
24031	0.051
24033	0.069
24035	0.088
24037	0.064
24039	0.269
24041	0.119
24043	0.103
24045	0.139
24047	0.154
24510	0.171
25001	0.122
25003	0.154
25005	0.109
25007	0.096
25009	0.101
25011	0.136
25013	0.141
25015	0.190
25017	0.071
25019	0.059
25021	0.062
25023	0.081
25025	0.172
25027	0.104
26001	0.322
26003	0.240
26005	0.101
26007	0.204
26009	0.186
26011	0.232
26013	0.202
26015	0.106
26017	0.126
26019	0.130
26021	0.142
26023	0.151
26025	0.159
26027	0.121
26029	0.134
26031	0.270
26033	0.182
26035	0.247
26037	0.109
26039	0.172
26041	0.163
26043	0.141
26045	0.111
26047	0.135
26049	0.167
26051	0.249
26053	0.230
26055	0.129
26057	0.184
26059	0.164
26061	0.179
26063	0.146
26065	0.191
26067	0.145
26069	0.288
26071	0.179
26073	0.316
26075	0.141
26077	0.159
26079	0.175
26081	0.102
26083	0.151
26085	0.312
26087	0.138
26089	0.161
26091	0.131
26093	0.077
26095	0.264
26097	0.209
26099	0.131
26101	0.218
26103	0.174
26105	0.172
26107	0.257
26109	0.192
26111	0.129
26113	0.166
26115	0.114
26117	0.154
26119	0.267
26121	0.156
26123	0.155
26125	0.103
26127	0.161
26129	0.259
26131	0.305
26133	0.156
26135	0.213
26137	0.127
26139	0.093
26141	0.215
26143	0.316
26145	0.169
26147	0.153
26149	0.151
26151	0.157
26153	0.190
26155	0.151
26157	0.157
26159	0.165
26161	0.154
26163	0.197
26165	0.125
27001	0.177
27003	0.071
27005	0.100
27007	0.129
27009	0.078
27011	0.135
27013	0.156
27015	0.076
27017	0.116
27019	0.046
27021	0.169
27023	0.091
27025	0.065
27027	0.114
27029	0.154
27031	0.109
27033	0.087
27035	0.114
27037	0.055
27039	0.055
27041	0.101
27043	0.134
27045	0.109
27047	0.114
27049	0.077
27051	0.099
27053	0.101
27055	0.093
27057	0.134
27059	0.071
27061	0.139
27063	0.118
27065	0.162
27067	0.097
27069	0.095
27071	0.155
27073	0.110
27075	0.098
27077	0.156
27079	0.075
27081	0.096
27083	0.085
27085	0.071
27087	0.119
27089	0.102
27091	0.117
27093	0.077
27095	0.115
27097	0.108
27099	0.107
27101	0.108
27103	0.086
27105	0.087
27107	0.134
27109	0.054
27111	0.118
27113	0.098
27115	0.147
27117	0.106
27119	0.119
27121	0.091
27123	0.124
27125	0.100
27127	0.087
27129	0.085
27131	0.099
27133	0.104
27135	0.100
27137	0.171
27139	0.041
27141	0.059
27143	0.095
27145	0.106
27147	0.074
27149	0.113
27151	0.085
27153	0.133
27155	0.121
27157	0.065
27159	0.108
27161	0.084
27163	0.051
27165	0.084
27167	0.093
27169	0.167
27171	0.047
27173	0.104
28001	0.282
28003	0.176
28005	0.188
28007	0.190
28009	0.239
28011	0.197
28013	0.189
28015	0.219
28017	0.157
28019	0.247
28021	0.319
28023	0.207
28025	0.221
28027	0.211
28029	0.175
28031	0.198
28033	0.084
28035	0.190
28037	0.198
28039	0.114
28041	0.242
28043	0.155
28045	0.246
28047	0.143
28049	0.188
28051	0.266
28053	0.251
28055	0.426
28057	0.155
28059	0.146
28061	0.190
28063	0.259
28065	0.245
28067	0.139
28069	0.315
28071	0.222
28073	0.128
28075	0.177
28077	0.147
28079	0.197
28081	0.117
28083	0.267
28085	0.181
28087	0.186
28089	0.108
28091	0.231
28093	0.186
28095	0.173
28097	0.263
28099	0.166
28101	0.150
28103	0.295
28105	0.285
28107	0.164
28109	0.198
28111	0.166
28113	0.184
28115	0.127
28117	0.177
28119	0.262
28121	0.078
28123	0.155
28125	0.211
28127	0.186
28129	0.179
28131	0.163
28133	0.318
28135	0.317
28137	0.148
28139	0.175
28141	0.180
28143	0.172
28145	0.158
28147	0.201
28149	0.176
28151	0.228
28153	0.208
28155	0.181
28157	0.259
28159	0.199
28161	0.192
28163	0.237
29001	0.254
29003	0.089
29005	0.132
29007	0.122
29009	0.154
29011	0.160
29013	0.151
29015	0.199
29017	0.150
29019	0.156
29021	0.132
29023	0.174
29025	0.142
29027	0.126
29029	0.158
29031	0.144
29033	0.106
29035	0.232
29037	0.086
29039	0.245
29041	0.148
29043	0.091
29045	0.148
29047	0.065
29049	0.103
29051	0.103
29053	0.142
29055	0.188
29057	0.212
29059	0.181
29061	0.130
29063	0.176
29065	0.205
29067	0.226
29069	0.192
29071	0.081
29073	0.135
29075	0.147
29077	0.139
29079	0.155
29081	0.145
29083	0.154
29085	0.294
29087	0.108
29089	0.141
29091	0.180
29093	0.232
29095	0.132
29097	0.116
29099	0.093
29101	0.121
29103	0.199
29105	0.132
29107	0.115
29109	0.138
29111	0.141
29113	0.096
29115	0.159
29117	0.154
29119	0.180
29121	0.147
29123	0.190
29125	0.199
29127	0.126
29129	0.148
29131	0.174
29133	0.259
29135	0.114
29137	0.136
29139	0.133
29141	0.193
29143	0.191
29145	0.127
29147	0.273
29149	0.227
29151	0.101
29153	0.308
29155	0.193
29157	0.114
29159	0.132
29161	0.152
29163	0.169
29165	0.058
29167	0.159
29169	0.083
29171	0.194
29173	0.125
29175	0.172
29177	0.110
29179	0.269
29181	0.206
29183	0.048
29185	0.275
29186	0.127
29187	0.182
29189	0.101
29195	0.141
29197	0.158
29199	0.122
29201	0.139
29203	0.266
29205	0.153
29207	0.136
29209	0.261
29211	0.133
29213	0.170
29215	0.193
29217	0.189
29219	0.104
29221	0.216
29223	0.239
29225	0.148
29227	0.141
29229	0.223
29510	0.180
30001	0.170
30003	0.143
30005	0.142
30007	0.148
30009	0.143
30011	0.166
30013	0.105
30015	0.246
30017	0.115
30019	0.095
30021	0.094
30023	0.216
30025	0.050
30027	0.143
30029	0.104
30031	0.107
30033	0.196
30035	0.160
30037	0.400
30039	0.197
30041	0.113
30043	0.137
30045	0.235
30047	0.183
30049	0.094
30051	0.227
30053	0.249
30055	0.213
30057	0.144
30059	0.139
30061	0.179
30063	0.158
30065	0.177
30067	0.127
30069	0.300
30071	0.155
30073	0.156
30075	0.489
30077	0.237
30079	0.141
30081	0.165
30083	0.077
30085	0.145
30087	0.117
30089	0.240
30091	0.124
30093	0.146
30095	0.118
30097	0.177
30099	0.132
30101	0.167
30103	0.180
30105	0.153
30107	0.163
30109	0.166
30111	0.100
31001	0.102
31003	0.117
31005	0.054
31007	0.190
31009	0.109
31011	0.092
31013	0.124
31015	0.151
31017	0.128
31019	0.083
31021	0.109
31023	0.080
31025	0.067
31027	0.085
31029	0.080
31031	0.144
31033	0.092
31035	0.102
31037	0.057
31039	0.071
31041	0.150
31043	0.069
31045	0.181
31047	0.081
31049	0.199
31051	0.080
31053	0.083
31055	0.090
31057	0.162
31059	0.099
31061	0.157
31063	0.126
31065	0.157
31067	0.092
31069	0.216
31071	0.219
31073	0.081
31075	0.086
31077	0.148
31079	0.085
31081	0.081
31083	0.122
31085	0.150
31087	0.134
31089	0.098
31091	0.097
31093	0.092
31095	0.119
31097	0.129
31099	0.093
31101	0.144
31103	0.179
31105	0.154
31107	0.147
31109	0.100
31111	0.101
31113	0.234
31115	0.281
31117	0.158
31119	0.105
31121	0.104
31123	0.162
31125	0.121
31127	0.140
31129	0.165
31131	0.078
31133	0.209
31135	0.133
31137	0.077
31139	0.094
31141	0.066
31143	0.075
31145	0.097
31147	0.132
31149	0.190
31151	0.069
31153	0.040
31155	0.063
31157	0.115
31159	0.067
31161	0.194
31163	0.180
31165	0.207
31167	0.073
31169	0.114
31171	0.260
31173	0.097
31175	0.103
31177	0.074
31179	0.159
31181	0.159
31183	0.140
31185	0.089
32001	0.094
32003	0.121
32005	0.116
32007	0.072
32009	0.271
32011	0.106
32013	0.070
32015	0.067
32017	0.181
32019	0.113
32021	0.206
32023	0.185
32027	0.285
32029	0.196
32031	0.102
32033	0.124
32510	0.122
33001	0.111
33003	0.137
33005	0.112
33007	0.176
33009	0.131
33011	0.076
33013	0.094
33015	0.075
33017	0.110
33019	0.116
34001	0.106
34003	0.070
34005	0.055
34007	0.104
34009	0.125
34011	0.119
34013	0.133
34015	0.069
34017	0.118
34019	0.059
34021	0.095
34023	0.072
34025	0.072
34027	0.053
34029	0.083
34031	0.116
34033	0.106
34035	0.049
34037	0.065
34039	0.086
34041	0.083
35001	0.149
35003	0.407
35005	0.146
35006	0.194
35007	0.187
35009	0.097
35011	0.221
35013	0.186
35015	0.112
35017	0.175
35019	0.288
35021	0.216
35023	0.250
35025	0.107
35027	0.157
35028	0.037
35029	0.176
35031	0.173
35033	0.300
35035	0.130
35037	0.177
35039	0.152
35041	0.159
35043	0.124
35045	0.113
35047	0.216
35049	0.163
35051	0.289
35053	0.192
35055	0.275
35057	0.274
35059	0.196
35061	0.165
36001	0.136
36003	0.176
36005	0.186
36007	0.172
36009	0.156
36011	0.136
36013	0.187
36015	0.145
36017	0.161
36019	0.157
36021	0.117
36023	0.173
36025	0.177
36027	0.106
36029	0.144
36031	0.177
36033	0.205
36035	0.166
36037	0.118
36039	0.177
36041	0.172
36043	0.168
36045	0.097
36047	0.142
36049	0.102
36051	0.155
36053	0.132
36055	0.142
36057	0.164
36059	0.065
36061	0.148
36063	0.124
36065	0.154
36067	0.137
36069	0.110
36071	0.103
36073	0.146
36075	0.174
36077	0.208
36079	0.067
36081	0.118
36083	0.110
36085	0.103
36087	0.094
36089	0.177
36091	0.071
36093	0.117
36095	0.131
36097	0.159
36099	0.132
36101	0.157
36103	0.062
36105	0.157
36107	0.115
36109	0.236
36111	0.158
36113	0.143
36115	0.142
36117	0.116
36119	0.087
36121	0.118
36123	0.114
37001	0.158
37003	0.195
37005	0.254
37007	0.240
37009	0.222
37011	0.241
37013	0.210
37015	0.278
37017	0.243
37019	0.195
37021	0.173
37023	0.229
37025	0.103
37027	0.210
37029	0.117
37031	0.182
37033	0.216
37035	0.125
37037	0.114
37039	0.223
37041	0.239
37043	0.293
37045	0.177
37047	0.227
37049	0.098
37051	0.104
37053	0.123
37055	0.105
37057	0.137
37059	0.128
37061	0.152
37063	0.127
37065	0.224
37067	0.144
37069	0.149
37071	0.133
37073	0.209
37075	0.198
37077	0.165
37079	0.238
37081	0.155
37083	0.243
37085	0.127
37087	0.199
37089	0.136
37091	0.280
37093	0.095
37095	0.286
37097	0.123
37099	0.196
37101	0.118
37103	0.174
37105	0.145
37107	0.229
37109	0.143
37111	0.196
37113	0.211
37115	0.252
37117	0.246
37119	0.118
37121	0.212
37123	0.220
37125	0.144
37127	0.169
37129	0.162
37131	0.309
37133	0.066
37135	0.186
37137	0.245
37139	0.171
37141	0.146
37143	0.193
37145	0.172
37147	0.202
37149	0.286
37151	0.145
37153	0.201
37155	0.216
37157	0.167
37159	0.174
37161	0.197
37163	0.180
37165	0.223
37167	0.156
37169	0.186
37171	0.206
37173	0.149
37175	0.199
37177	0.278
37179	0.091
37181	0.208
37183	0.087
37185	0.269
37187	0.223
37189	0.374
37191	0.163
37193	0.257
37195	0.199
37197	0.172
37199	0.218
38001	0.141
38003	0.109
38005	0.133
38007	0.149
38009	0.099
38011	0.074
38013	0.072
38015	0.070
38017	0.087
38019	0.080
38021	0.157
38023	0.095
38025	0.106
38027	0.125
38029	0.167
38031	0.094
38033	0.097
38035	0.101
38037	0.173
38039	0.144
38041	0.110
38043	0.108
38045	0.157
38047	0.143
38049	0.121
38051	0.175
38053	0.101
38055	0.097
38057	0.071
38059	0.073
38061	0.080
38063	0.108
38065	0.133
38067	0.076
38069	0.126
38071	0.083
38073	0.070
38075	0.080
38077	0.129
38079	0.181
38081	0.092
38083	0.239
38085	0.155
38087	0.099
38089	0.078
38091	0.092
38093	0.117
38095	0.138
38097	0.086
38099	0.107
38101	0.061
38103	0.144
38105	0.056
39001	0.188
39003	0.159
39005	0.120
39007	0.185
39009	0.415
39011	0.083
39013	0.170
39015	0.137
39017	0.114
39019	0.172
39021	0.137
39023	0.165
39025	0.090
39027	0.133
39029	0.173
39031	0.147
39033	0.156
39035	0.161
39037	0.119
39039	0.097
39041	0.038
39043	0.127
39045	0.103
39047	0.150
39049	0.125
39051	0.086
39053	0.182
39055	0.083
39057	0.147
39059	0.171
39061	0.136
39063	0.115
39065	0.175
39067	0.191
39069	0.089
39071	0.175
39073	0.161
39075	0.084
39077	0.123
39079	0.171
39081	0.190
39083	0.130
39085	0.101
39087	0.172
39089	0.112
39091	0.112
39093	0.137
39095	0.185
39097	0.121
39099	0.182
39101	0.154
39103	0.088
39105	0.208
39107	0.072
